price,artist,title,condition,period,movement,year_numeric,condition_grouped,is_signed
2000,Barbara Morgan,"Martha Graham, Satyric Festival Song","This print, on paper with an eggshell surface, is in generally excellent condition. There are adhesive remnants on the mount. On the reverse of the mount, the following is written in pencil in an unidentified hand: ‘Photographed by Barbara Morgan / Martha Graham, Satyric Festival Song 1940.'",Modern,Performance Art,1940,Excellent,Yes
3000,JOHN GIBSON,Small Ball,Good overall condition.Not examined out of frame.Minor sheet undulation.,Contemporary,Realism,2003,Good,Yes
5000,Robert  Motherwell,Blue Gesture (Octavior Paz),Good overall condition.Not examined out of frame.Sheet undulation.,Post-War,Abstract Expressionism,1988,Good,Yes
3600,Ferdinand Bassot,Pretty in Pink,"The canvas is relined. Very fine pigment separation in the greens in left half of composition and in her hair. Small spot of discoloration on the figure's forehead. Under UV light, there is fine craquelure filling in the figure's hair above her forehead and to surrounding green background; two lines of vertical inpainting along stretcher bar, concentrated on her proper left arm and on the dress, continuing on her proper right hand; possible repaired tear circa 3 inches at lower center.",19th Century,Realism,1890,Other,Yes
19200,Carl (Christian Edvard Otto) Carlsen,A Forest Walk in Autumn,"The canvas is unlined. The paint surface is in good condition with thick impasto except for very fine pigment separation on the central figure's coat and on the tree trunk at right, in a small area. Under UV light, no evidence of inpainting.",19th Century,Impressionism,1892,Good,Yes
4000,Eric Fischl,"Two Bathers, Black and White",Not examined out of frame.Overall very good condition.,Contemporary,Expressionism,2007,Good,Yes
2250,"Patrick Caulfield, R.A.",For John Constable,"Very good overall condition.Not examined out of frame.Frame with occasional minor marks, nicks and scratches.",Post-War,Pop Art,1976,Good,Yes
1000,John Bankston,The Inventor ,Overall very good condition.,Contemporary,Pop Art,2012,Good,Yes
15000,Ansel Adams,"Fresh Snow, Yosemite Valley, California ",Water stain or smudge on mat on top left corner.Not examined out of frame.No obvious signs of wear to art.,Post-War,Realism,1947,Other,Yes
10000,William Wegman,"'Letters, Numbers, Punctuation'",This portfolio composed of 44 gelatin silver prints is in generally excellent condition. The edges of each sheet bow upward slightly. The cloth clamshell box is very slightly soiled at the corners and edges.,Contemporary,Conceptual ,1993,Excellent,Yes
3000,Michael Williams,Untitled (One Fourth Jew),Overall very good condition.Not examined out of frame.Minor sheet undulation.,Contemporary,Conceptual ,2010,Good,No
28000,Agnieszka  Pilat,B70 Mother and Child ,Overall excellent condition ,Contemporary,Abstract,2021,Excellent,Yes
32000,Agnieszka  Pilat,B70 Multiples,Overall excellent condition,Contemporary,Abstract,2021,Excellent,Yes
3000,Hayal Pozanti,Active Cell,Very good condition,Contemporary,Geometric Abstraction,2014,Good,Yes
8500,William Wegman,Enframed,Very good condition,Post-War,Realism,1995,Good,Yes
15000,Philip Guston,Rug,Very good condition,Post-War,Social Realism,1980,Good,Yes
7500,Allison V. Smith,Refinery Road (one of three),Very good condition,Contemporary,Realism,2007,Good,No
7500,Allison V. Smith,Refinery Road (one of three),Very good condition,Contemporary,Realism,2007,Good,No
3500,Vernon Fisher,Objects in the Field,Very good condition,Post-War,Conceptual ,1990,Good,Yes
3680,Charles Arnoldi,Skylar,Very good condition,Contemporary,Abstract Expressionism,2013,Good,Yes
7500,Allison V. Smith,Refinery Road (one of three),Very good condition,Contemporary,Realism,2007,Good,No
12000,Victoria Sambunaris,"Untitled (White Trains on Salt Flats, I-80, Great Salt Lake Desert, Utah)",Very good condition,Contemporary,Realism,2010,Good,No
3000,Donald Sultan,Black Flowers 1,Very good condition,Post-War,Expressionism,1996,Good,Yes
5500,Hung Liu,Migrant Child: with Bunny,Very good condition,Contemporary,Realism,2019,Good,Yes
3680,Charles Arnoldi,Walter,Very good condition,Contemporary,Abstract Expressionism,2013,Good,Yes
13000,Jim Dine,Cream and Red Robe on a Stone,Very good condition,Contemporary,Pop Art,2010,Good,Yes
1840,Hayal Pozanti,A Sacred Canopy,Very good condition,Contemporary,Geometric Abstraction,2014,Good,Yes
54000,Mario Schifano,Studio per K Sogno Di F.L.S.,Very good condition,Post-War,Abstract Expressionism,1960,Good,Yes
10000,Biff Elrod,Side Glance Two ,Not specified,Contemporary,Pop Art,2017,Not Specified,Yes
5000,Mike Reesé,Greed Sweet Like Candy,Excellent condition.,Contemporary,Pop Art,2021,Excellent,Yes
5000,Carlos W. Desrosiers,Creation no. 008,Excellent condition.,Contemporary,Abstract,2021,Excellent,Yes
2500,Louise Donegan,Requin Rouge,Excellent condition.,Contemporary,Pop Art,2016,Excellent,Yes
